Code,Name,Brand,quantity,Eco-Score,Url
9346758001335,Pana Organic Double Chocolate,Pana Organic,475ml,A,https://images.openfoodfacts.org/images/products/934/675/800/1335/front_en.12.full.jpg
9344962001684,"High protein yoghurt, blueberry flavour",YoPRO,160g,A,https://images.openfoodfacts.org/images/products/934/496/200/1684/front_en.3.400.jpg
9300605138094,Milo,Nestle,750 g,A,https://images.openfoodfacts.org/images/products/930/060/513/8094/front_en.3.full.jpg
8076809513739,Salsa basílico,Barilla,400 g (380 ml),A,https://images.openfoodfacts.org/images/products/807/680/951/3739/front_es.74.full.jpg
9300645111231,Roasted Garlic with Chunky Tomato & Onion,Leggos,500g,A,https://images.openfoodfacts.org/images/products/930/064/511/1231/front_en.7.full.jpg
9350717000086,Fusilli Pasta,Barilla,500g,A,https://images.openfoodfacts.org/images/products/807/680/208/5981/front_en.44.400.jpg
8001060003279,Stir Through olive and tomato,Sacla Italia,190 g,A,https://images.openfoodfacts.org/images/products/800/106/000/3279/front_en.17.200.jpg
9310012039587,"Tomato, onion and roast garlic Pasta Sauce",Dolmio,500g,A,https://images.openfoodfacts.org/images/products/931/001/203/9587/front_en.7.400.jpg
8076802085738,Penne Rigate n.73,Penne rigate,500g,A,https://images.openfoodfacts.org/images/products/807/680/208/5738/front_en.3303.200.jpg
8005110413520,Polapezzi,Mutti,400g,A,https://images.openfoodfacts.org/images/products/800/511/041/3520/front_de.97.200.jpg
